key,N,R2,R2adj,RMSE,x_Intercept__B,x_Intercept__p,caliber_B,caliber_p,myelin_B,myelin_p,length_B,length_p,dom_X1,domfrac_X1,dom_X2,domfrac_X2,dom_X3,domfrac_X3
Control–Control,586,0.384604232116667,0.381432088983248,0.786490884255344,3.07356211103641e-15,0.999999999999925,0.654327827160954,3.34084770729611e-25,-0.295749256757598,3.28113525732703e-07,0.397896737472958,1.64614458616597e-11,0.225883189243302,49.7794252150549,0.141952139405338,31.2829650197379,0.0859328461895616,18.9376097652072
Control–Default,1708,0.280109352523274,0.278841939411519,0.849210256996747,3.0382342498476e-16,0.999999999999988,0.497120343320561,3.26170222549006e-43,-0.161233864820299,1.44021975408204e-08,0.116325616451658,0.000533676089325723,0.1746202559602,51.2632365834016,0.0948249113891593,27.8377318817498,0.0711893060048647,20.8990315348486
Control–DorsAtt,817,0.317561819472157,0.315043597403789,0.82762092928841,1.65840037790279e-15,0.999999999999954,0.604966098446287,3.44355195782874e-30,-0.125739714277004,0.00481447800987847,0.184459859308909,0.00021818470636813,0.211137555301674,54.5909246939119,0.09732776457675,25.164697294352,0.078297784951747,20.2443780117361
Control–Limbic,210,0.373987863121155,0.364871181516123,0.796949696332132,3.28030855774709e-15,0.999999999999952,0.875733621457642,3.4630315801013e-15,0.0674787256026065,0.30441599726071,0.32770301867817,0.00378025042116906,0.274992704398949,75.5681221933629,0.00621888216223543,1.70895169080612,0.082688820670453,22.722926115831
Control–SalVentAtt,804,0.263891324463376,0.261130916930114,0.859574943253866,-4.22709519294514e-16,0.999999999999989,0.47678471390219,1.14509637681309e-24,-0.18016298455514,7.45724358249146e-06,0.111298940192529,0.0226415343841093,0.174213157556358,54.9482712527449,0.0785984616761713,24.7906051001549,0.0642377684634581,20.2611236471002
Control–SomMot,703,0.0276393891702069,0.0234661676644996,0.988197263877765,3.48811841399585e-16,0.999999999999993,0.201445779932007,0.000180698139272776,-0.0416718420116929,0.328042339344524,0.0905827186302932,0.104121358071668,0.0216438952434155,72.2165198783384,0.0038286534799849,12.7745965795465,0.00449828797695362,15.0088835421151
Control–Visual,328,0.321766699177774,0.315486761207198,0.827353152403979,1.59546939565361e-15,0.999999999999972,0.445069153640967,8.92757929368707e-10,-0.255489673871225,1.8213399097327e-06,0.0582627051677039,0.402708971067839,0.177880062681933,47.4732967639975,0.120991724098668,32.2907240840948,0.0758231992580186,20.2359791519077
Default–Default,1400,0.304866599796853,0.303372760111602,0.834641983061239,1.90680245389875e-15,0.999999999999932,0.664654534925042,1.29506422844974e-49,0.0128623996264352,0.686167448879821,0.131584495944748,0.00107317329297401,0.208676151152442,57.4003386639153,0.0684266653831901,18.8220539095925,0.0864423401824518,23.7776074264922
Default–DorsAtt,1046,0.182766811175183,0.18041393251254,0.905309928967677,2.36326795119847e-15,0.999999999999933,0.410875454607433,7.15323079091981e-19,-0.0134236483020107,0.706819869275159,-0.0110342968776818,0.80144964125556,0.123366321052189,57.8600041325122,0.0353020091743428,16.5569855637454,0.054546865489066,25.5830103037425
Default–Limbic,471,0.337935596139878,0.333682505751055,0.816282729358489,7.76100755266081e-16,0.999999999999984,0.785299715777794,5.38677328593004e-32,-0.20904236846327,5.5532580782567e-06,0.466964230168995,6.92085439448448e-12,0.244997569198273,64.5868433607867,0.0620181972172454,16.3493850257223,0.0723146923122739,19.0637716134909
Default–SalVentAtt,1182,0.283926705751647,0.282103089552373,0.847287973741884,-7.61111586106084e-17,0.999999999999998,0.543562505046247,2.38612247426075e-45,-0.0492420504212037,0.118409643916182,0.0546563736487869,0.154400879055637,0.207137030427748,63.2477060555443,0.0509371331371378,15.5532635440266,0.0694270903870594,21.1990304004291
Default–SomMot,757,0.238676521416064,0.235643360146805,0.87427492235177,3.60200055385347e-15,0.99999999999991,0.475482071829895,8.50536008771784e-21,-0.0951632068250616,0.00788452450055927,0.0524820329317503,0.265164226334622,0.162156082936649,61.3723214757566,0.0463648235206371,17.5480117843433,0.0556960549309254,21.0796667399001
Default–Visual,860,0.261992959752842,0.259406486480947,0.860577430286812,1.347725359867e-15,0.999999999999963,0.329659915762792,6.27267159688893e-14,-0.111209427524997,0.00249905369114912,-0.13806290975694,0.0013672659239432,0.144613810439939,45.9266320980174,0.0726250209358038,23.0643436299934,0.0976412367540117,31.0090242719892
DorsAtt–DorsAtt,471,0.458531145580204,0.455052758935109,0.738205419287132,4.95019416248114e-16,0.999999999999988,0.82431986753821,9.55658466689353e-26,-0.15604447052909,0.0184555168011682,0.351592201707625,6.36631023896632e-07,0.286258216102571,49.7677321688505,0.159582702146225,27.7444235045082,0.129347469141175,22.4878443266413
DorsAtt–Limbic,110,0.614013398492764,0.603089249393502,0.630008532169603,-3.92209593056575e-16,0.999999999999995,0.343108109010625,0.00193106785981994,0.213404857195758,0.0043229106033896,-0.580132413706533,3.7645818089316e-07,0.264943371157293,40.5595712027115,0.0555785027519364,8.50838513098316,0.332698471624357,50.9320436663053
DorsAtt–SalVentAtt,615,0.325017995404872,0.321703844809479,0.823587369494288,-4.08964426861498e-16,0.99999999999999,0.376152158968103,2.1095705904214e-13,-0.238049531470755,2.32340588887315e-07,-0.0160046413258715,0.748904575243364,0.175902989225575,43.6689635339398,0.133230714175321,33.0753173924855,0.0936763818186948,23.2557190735746
