key,N,R2,R2adj,RMSE,x_Intercept__B,x_Intercept__p,caliber_B,caliber_p,myelin_B,myelin_p,length_B,length_p,int_my_cal_B,int_my_cal_p,int_my_len_B,int_my_len_p,dom_x1,domfrac_x1,dom_x2,domfrac_x2,dom_x3,domfrac_x3,dom_x1_x2,domfrac_x1_x2,dom_x2_x3,domfrac_x2_x3
1,58,0.529500264005528,0.48425990477529,0.718150468373244,-0.0203262062055823,0.871508842003945,0.681543769825673,0.000418526698683795,-0.0620501300917188,0.740397085500919,-0.0388803343499622,0.879328520492108,0.0884753564901287,0.607203289216726,0.112856514802927,0.590252376538435,0.325882962504577,48.9725604644565,0.160364908325025,24.0990817960114,0.151911354588767,22.8287110828366,0.00121699344318171,0.18288555045349,0.026063691598303,3.91676110624197
2,47,0.463946925486148,0.398574599325923,0.775516215610014,-0.452669765060348,0.00712505261967169,-0.312866540909032,0.294533544878165,0.497756929167521,0.0430407598809963,-1.02962820307206,0.000596870471323729,-0.118770462058807,0.606201392362903,0.50076403271782,0.060270522352388,0.104950811563931,15.8243636828976,0.173310770523088,26.1316003378395,0.211318405702232,31.8623482266761,0.0481182739493868,7.25521847255618,0.125524687803137,18.9264692800307
3,68,0.568056268910311,0.53322209704824,0.683211462836917,0.0100560105332448,0.946399231973653,0.89169469712436,0.000176468455021243,-0.439961743144622,0.0130121662927047,0.638533117303997,0.0315854170072199,0.157669428905305,0.408078249531458,0.142225669488624,0.602747206169393,0.276857721860163,42.2750776865708,0.195138650153969,29.7968990696178,0.126339170022791,19.2914909206254,0.0105199385097435,1.60635294825542,0.0460403517278428,7.03017937493062
4,60,0.462826404225826,0.41308810832081,0.766101750212849,-0.279058107561652,0.0527368115646786,0.207948091846475,0.367386769012683,-0.229269545382682,0.19134676411281,-0.181825388878742,0.487350549802555,0.315610646194821,0.132499355471974,0.712897829414075,0.00559836086943086,0.147776434098,23.1256336431019,0.227727396009737,35.6372134891705,0.11117107648028,17.397236589748,0.0370963458488132,5.80523213213106,0.11524446656415,18.0346841458485
5,64,0.555835259713219,0.517545195895394,0.694589665993244,-0.0702202912105644,0.701089938437282,0.0187015888210057,0.930390001041275,-0.478571392115104,0.0231066377631717,-0.297713609180406,0.230618395064995,0.159876099142977,0.431960476852565,0.272142831132167,0.461861265920764,0.202071991290755,27.4845653814308,0.321059781355304,43.6685386017248,0.204156220036013,27.768049108458,0.00539712424765409,0.73408300333378,0.00253477280256398,0.344763905052534
6,59,0.741567733157415,0.717187330625096,0.531801343900995,-0.184417810680124,0.329436514588547,0.65376345697713,0.000445441218764187,-0.243619192627065,0.33189876483422,0.0149352175664516,0.962909366442511,0.293475619284028,0.119564625475362,0.539097817230737,0.135346616991515,0.381119791160525,40.453447859094,0.32469881108882,34.4647187811848,0.192593308328462,20.4425577920049,0.0109702889444079,1.16442657165732,0.0327372274498141,3.47484899605897
7,46,0.617146544312312,0.569289862351351,0.656285103936277,-0.0472276737336674,0.751141998528307,0.759754395890381,0.0289275777540895,-0.0338721021252715,0.858949697967974,0.140786683090939,0.71589825866557,-0.252962639635488,0.267978687656701,-0.190684728368918,0.516547179859223,0.324235701619651,39.5249128897133,0.209908009942434,25.5881624583101,0.223751234372846,27.2756763162585,0.0123464699564327,1.50505680616231,0.0500910729476841,6.10619152955578
8,107,0.455237615063363,0.42826918016551,0.756128838118538,-0.286876023377231,0.00538843093760679,0.446823753373043,0.00518202955572593,-0.0328882396913985,0.795863977189812,0.0790353932262775,0.603535136171957,0.175860305429192,0.208205097705581,0.597656736903049,0.0024231211631011,0.173424843506402,28.949063841115,0.177869246127824,29.6909488710901,0.0900246378142999,15.0274259135383,0.0428799563025061,7.15776683090763,0.114870234187843,19.174794543349
9,41,0.914511964312021,0.902299387785167,0.312570971484611,0.580317151856691,0.00177981319041391,0.539478834307975,0.00195722242243747,-1.13415350513839,3.19333027969679e-05,0.405859785539435,0.127776781844777,-0.126256074853059,0.232791661395297,-0.799039151380085,0.00291875044771361,0.376317262433738,29.3218558272311,0.445031943066119,34.6759603551138,0.427694295161862,33.3250470089013,0.0203867984922598,1.58849679736419,0.0139716268736822,1.08864001138963
10,40,0.699380096756216,0.65517128745566,0.587221178555696,-0.0416346037608789,0.845028861315858,0.214406047735723,0.480598489304855,-0.757561323886781,0.00391157464057986,0.17918392622859,0.680654773103541,-0.114824817324033,0.675070078766772,-0.0625454330396837,0.88466671068087,0.266184512164945,29.0381905251877,0.422900782001371,46.1344402840277,0.213509285621072,23.2918259005224,0.00571470863521117,0.623420186229195,0.00836116297504169,0.912123104033024
