key,N,R2,R2adj,RMSE,x_Intercept__B,x_Intercept__p,caliber_B,caliber_p,myelin_B,myelin_p,length_B,length_p,dom_X1,domfrac_X1,dom_X2,domfrac_X2,dom_X3,domfrac_X3
1,58,0.526735199100882,0.500442710162042,0.706793668504436,4.28525637385943e-16,0.999999999999996,0.687310595070418,4.01073105565035e-05,-0.0973834538509835,0.524174209734076,0.0455854590908102,0.777468411452852,0.349235973986629,53.01462979323,0.158982375872702,24.133801865618,0.150535611733411,22.851568341152
2,47,0.243727910514188,0.190964741480294,0.899463872826311,9.64458163800547e-17,0.999999999999999,0.122385552174489,0.69719127522523,0.0626802997459159,0.798414850997671,-0.433195289838699,0.0865687853501381,0.095961107370511,31.2856907128612,0.0632012630371073,20.6051724727048,0.147562861428361,48.109136814434
3,68,0.56244718747296,0.541936899385755,0.676803590869792,-4.76800486831395e-16,0.999999999999995,0.845873264196116,8.94503217871382e-07,-0.4532456331264,0.00651902403775256,0.681754290843752,7.95191995120159e-05,0.31914023683753,49.6243494290673,0.192334109435293,29.9067743645387,0.131637836575451,20.468876206394
4,60,0.35598727438728,0.321486592658028,0.823719252744509,1.54225062047208e-16,0.999999999999999,0.528352377928931,0.0158358660971834,-0.424680699996346,0.0180080781885725,0.407735941811117,0.0479072537394645,0.168175111128324,39.5030253920919,0.174307831090464,40.9435536055808,0.0832442254071917,19.5534210023274
5,64,0.550815028736771,0.52835578017361,0.686763583648981,5.33681498042905e-16,0.999999999999995,0.0609482559043697,0.726079840835546,-0.530621979974282,0.000207248547415237,-0.205679166868106,0.205420714476208,0.199995894143772,27.6546477557795,0.31854966586708,44.0477982810113,0.204645333288359,28.2975539632092
6,59,0.728771788116666,0.713977522013939,0.534810693597334,-1.25421528285606e-15,0.999999999999986,0.741896046353061,2.34724292199845e-06,-0.437374471819297,0.00297889826478931,0.363060400455687,0.00681168329335603,0.401852441944889,44.1006794956863,0.318300838568445,34.9314370144857,0.191062706497016,20.967883489828
7,46,0.60043856848322,0.571898466232021,0.654294684196638,6.04654865055606e-16,0.999999999999995,0.765769192863237,0.000652534751960694,-0.0689141212649636,0.691469866055374,0.0537958952012992,0.799701743282082,0.363922862198465,46.2311362632654,0.201554022027888,25.6045234434843,0.221704421736125,28.1643402932504
8,107,0.362392097432953,0.343820993474689,0.810048767991971,-5.02868892478326e-16,0.999999999999995,0.666953244444442,1.24023104260767e-05,-0.266088523626117,0.0268927185442969,0.383306664045333,0.00723045457431514,0.215769050345117,50.2523846578731,0.131446487312619,30.6137485046842,0.0821552311408197,19.1338668374427
9,41,0.884019321537798,0.874615482743565,0.354096762561357,1.0315407582296e-15,0.999999999999985,0.134614741328085,0.253299202618911,-0.416711074361174,0.00508823934136538,-0.429444100001268,0.0011889709541757,0.362536815231865,29.6345969230548,0.429785621679008,35.1316697412816,0.431034223458691,35.2337333356636
10,40,0.696292962739617,0.670984042967918,0.573599125724649,6.83109272142792e-16,0.999999999999994,0.288269814116843,0.143419518001521,-0.752118688612619,8.3710396467217e-05,0.202302784463961,0.296095840106005,0.272907679952236,29.951843287174,0.421357214993071,46.2443023721478,0.216889979015657,23.8038543406781
11,39,0.888918685870084,0.879397430373234,0.347278806763048,-5.46403350176957e-16,0.999999999999992,0.164116124251569,0.151860028808956,-0.43894358328732,0.000963052476373045,-0.384497892615319,0.00798587450831599,0.364156832677462,29.7062098448701,0.43475636374709,35.4653891234348,0.426947775335694,34.8284010316952
12,62,0.803039241023316,0.792851615559005,0.45513556710171,4.08887541558045e-16,0.999999999999994,0.49962159233583,0.00070450219777195,-0.715958068890884,2.32163591494415e-07,0.35039016951074,0.00384034478965481,0.360430470333292,35.1369080784447,0.435101216401422,42.4162569590169,0.230257120660107,22.4468349625384
13,39,0.681021121048561,0.653680074281294,0.588489528979663,3.56850194405151e-15,0.99999999999997,0.586615735084673,0.0146248222873046,-0.369767796409881,0.0736085234668468,0.117958325378729,0.551705583301161,0.355031101750272,38.7047835880295,0.322131421388298,35.118125962126,0.240117122522786,26.1770904498445
14,72,0.676223418935114,0.661939158005781,0.581429997501177,2.33209229569349e-15,0.999999999999973,1.00857216993987,2.5199347529787e-08,-0.291905415217543,0.0537544596480749,0.658834071698248,8.27125542700357e-07,0.361228723224993,49.0018114117631,0.231019666184108,31.33854366202,0.144925835007994,19.6596449262169
15,85,0.58109118800556,0.56557604682058,0.659108453275649,-8.53943837026842e-16,0.99999999999999,0.253871317333483,0.120861012248203,-0.836522564759315,2.23756895715566e-07,0.397451045111674,0.00564780653004874,0.210381307765212,29.8708822455548,0.352321888301407,50.0242428843911,0.141599094156229,20.1048748700541
16,37,0.596982866921242,0.560344945732264,0.663064894461874,3.75456148322971e-15,0.999999999999973,1.1148586271669,1.47314693116247e-05,0.232291458009632,0.359793323910785,0.232860453596584,0.255665407609821,0.428557738427995,63.341727079616,0.146322036589363,21.6267020200693,0.101700669164923,15.0315709003146
17,137,0.158171976454943,0.139183374420092,0.927802040081778,1.02468093528656e-15,0.99999999999999,0.429771151440601,0.0036406237915971,-0.172537755523778,0.128364109379006,0.239401844958387,0.07778010722555,0.092018530753905,50.13812272262,0.0586676031951893,31.9662079446704,0.0328439341050702,17.8956693327096
18,75,0.610667379236711,0.594216705119953,0.637011220372175,-5.87355091143599e-16,0.999999999999994,0.317719997211875,0.050265616123891,-0.837668723873932,1.21406478088265e-06,0.466241031172729,0.000962666509867279,0.231461980990999,32.090549893238,0.348531860496564,48.3214522348833,0.141283861016912,19.5879978718787
19,60,0.624397161391114,0.604275580751352,0.629066307513483,-1.03294183967594e-15,0.99999999999999,0.806434630950291,8.54420590660661e-05,-0.312050536604755,0.0988278035926043,0.414184972387334,0.0056027741386711,0.341945750742549,46.2255334526612,0.25418736141143,34.3620189829886,0.14360037538431,19.4124475643502
20,71,0.399728516082197,0.372850688444086,0.791927592369349,-6.1936228087262e-16,0.999999999999995,0.34923103748606,0.0267922773859392,-0.215611662326924,0.164451548891126,-0.125722819968095,0.440554031380362,0.202618114647777,38.6836566377692,0.166588351408982,31.8048887038532,0.154575751702739,29.5114546583777
21,59,0.58908640323509,0.566672934320641,0.65827582796223,-7.07572238136203e-16,0.999999999999993,0.757558920746569,0.000130244442506413,-0.615577705490369,0.00504421646220616,0.755786243494802,0.0001031454837883,0.290058483933792,43.884939688445,0.224812683146795,34.0134544843947,0.146081054781906,22.1016058271603
22,67,0.465866714060669,0.440431795682605,0.748042916093318,-1.75853875096206e-15,0.999999999999985,0.84123745586403,1.65651844118893e-06,-0.125215633781758,0.555373759617606,0.372561677628718,0.0639581183367106,0.332598571113642,62.0097790757985,0.113988996889877,21.2521433587218,0.0897771410322702,16.7380775654798
23,125,0.321080284049533,0.304247563819357,0.834117759180707,-1.67468169044328e-15,0.999999999999982,0.855120125388163,2.61765621087126e-09,-0.0519497300820398,0.640361717095787,0.494853974588883,0.000371851228990822,0.237017393816078,68.4751846148035,0.0445540152359397,12.8718165763781,0.0645647790420819,18.6529988088184
24,98,0.436357267465681,0.418368669618841,0.762647579410804,1.5209751745803e-15,0.999999999999984,0.623951713124746,0.000380445286142786,-0.454076248126042,0.0154559325521297,0.559668746005393,0.00014739312486278,0.210162162566595,44.711402795047,0.165169123881731,35.1392616872269,0.0947102453057971,20.1493355177261
25,96,0.489700365595373,0.473060160125656,0.725906219751797,5.55791600099907e-16,0.999999999999994,0.855704279791864,6.62875017286321e-08,-0.192571956674131,0.338467161773587,0.482578752125807,0.00310606683015921,0.308447995811496,59.2267133089786,0.128343554335636,24.6439172920984,0.0840004684853397,16.1293693989231
26,61,0.45664158774719,0.428043776575989,0.756277874477372,2.56201394878904e-16,0.999999999999998,0.936800684591041,6.04307793069813e-07,0.230348636097722,0.355983642241822,0.144372616059149,0.52939687299577,0.355616737724688,70.2643331188156,0.0817863224048638,16.1597045144348,0.0687096743688272,13.5759623667496
27,111,0.42170553196579,0.405491668376045,0.771043663889377,1.84745229717463e-15,0.99999999999998,0.917261828877827,5.02280490985146e-10,-0.1719806025903,0.165772618403718,0.642027907606272,3.1232288578736e-06,0.271432862926179,61.2651477819215,0.0824891330524823,18.618633250158,0.089124128536319,20.1162189679205
28,83,0.464049992502531,0.443697460572247,0.745856916189529,-6.47064592937112e-16,0.999999999999994,0.835589380517329,3.42746094049935e-06,0.0595504091458965,0.646357829592171,0.140660190433392,0.331854281026611,0.312373767777887,55.5938335758158,0.119733393108152,21.3092103644739,0.129778479455509,23.0969560597103
29,122,0.436093971397062,0.42175737744953,0.760422660466184,8.45563530880172e-16,0.99999999999999,0.836009169263028,3.94489917739949e-10,-0.239346197965394,0.0982264981302059,0.61814334298841,4.21170663178845e-06,0.269876372195792,61.776915460005,0.0887108250574216,20.3066355730607,0.0782691433170963,17.9164489669343
30,111,0.527351836437256,0.514100018767273,0.697065263252105,4.28313519663295e-16,0.999999999999995,0.923069878607333,3.7621522975516e-13,-0.215115382687604,0.104790771292352,0.601587342151238,3.6491169226955e-06,0.357525365874875,65.182164230702,0.102932642405111,18.7661437267031,0.0880438251502002,16.0516920425949
31,127,0.357985215630255,0.342326318450505,0.810970826571151,4.15335996428672e-16,0.999999999999995,0.820235239366075,4.7578001245567e-10,-0.305518491530735,0.0174185261275311,0.753645657368104,3.4041404162235e-07,0.221455889073004,60.461378230058,0.0595010811690415,16.2448485281548,0.0853196439468591,23.2937732417872
32,74,0.566726008344749,0.548157122988095,0.672192589227154,-2.75013560425567e-16,0.999999999999997,0.670475320702641,3.6475894142969e-05,-0.342144209918384,0.00984810352330149,0.263145470926095,0.0715560487484046,0.318022572118838,44.4067511657901,0.242300301265295,33.8333506140666,0.15583528673778,21.7598982201434
33,120,0.528136896945812,0.515933540832342,0.695748847765958,-2.18274481534202e-16,0.999999999999997,0.290150779976587,0.0258442208789717,-0.640867064969519,1.49147686784962e-07,0.239103896865332,0.0252153719763949,0.208216911821946,32.8534217629089,0.313779890531351,49.5096339396352,0.111778617828416,17.6369442974559
34,91,0.684887994523021,0.674022063299677,0.570944775525903,5.52965599861736e-16,0.999999999999993,0.558271858927554,1.38189123503664e-07,-0.399435033960418,1.9332064728137e-06,0.0373206828467793,0.70853193316308,0.35199891221896,41.3138038188561,0.295995328807225,34.7407123179764,0.204018596528859,23.9454838631675
35,100,0.402403807966601,0.383728926965557,0.785029345333308,5.33852866707605e-16,0.999999999999995,0.506351666926626,0.000368565029261978,-0.054041989883556,0.625281972301568,-0.107921140585181,0.446769420454844,0.239865762144325,48.0845967672481,0.104780438158598,21.0047698050389,0.154194963542928,30.910633427713
36,67,0.686166683799732,0.671222240171147,0.573391454269117,-4.91629325401184e-16,0.999999999999994,0.494391362433902,0.000365230735293812,-0.398070435145272,0.000603905998091549,0.00932816328821579,0.93853546699015,0.344272219929181,38.8253021654926,0.323590674304703,36.4929407037257,0.218858395047324,24.6817571307817
37,90,0.512257597523142,0.495243327669299,0.710462294798747,-9.65747692920011e-16,0.99999999999999,0.33698511710708,0.00967895799602143,-0.477606036423586,0.000319134401634696,0.070117345402657,0.550763898710035,0.233964059409478,36.3246851804618,0.275660799212348,42.7984185829929,0.134466227776141,20.8768962365453
38,80,0.583320835648476,0.566872973897758,0.658123868357806,-1.35509145330155e-15,0.999999999999985,0.479964141077431,7.88115207898921e-05,-0.546756560482989,2.1417134783579e-05,0.264486199473297,0.0287243173449025,0.283099627150451,39.8555647126311,0.298787963894598,42.0642130483197,0.128426336738116,18.0802222390492
39,48,0.585032880205576,0.556739667492319,0.66577799040497,-4.40819437978875e-16,0.999999999999996,0.580038473185808,0.00704119515560849,-0.503140268517179,0.000232521002498107,0.24926590291631,0.2473891593944,0.254413220706428,34.3407064626222,0.313547073579708,42.3225962318982,0.172889987822479,23.3366973054795
40,107,0.492131341999004,0.477339050989266,0.722952936926557,2.20970555422174e-15,0.999999999999975,0.579350970461958,1.74115340328731e-05,-0.455156854048617,4.84597334293453e-06,0.307571416472428,0.0209598058031189,0.236335922053379,38.8277973910462,0.249660579438921,41.0169148674579,0.122680626579556,20.1552877414959
41,49,0.699332229351884,0.679287711308676,0.566314655197377,-6.1775181699344e-16,0.999999999999994,0.555244705058615,0.000956384702413349,-0.704815304769036,1.93550206780803e-06,0.585384381921221,6.45477373077286e-05,0.245425838370004,33.2283259889355,0.379745402352092,51.4139183794147,0.113433040612228,15.3577556316498
42,70,0.66388621030581,0.648608310774256,0.592783003489256,-1.48621787160817e-15,0.999999999999983,0.440075704400096,0.00927583296880934,-0.666383638152142,3.37229500603786e-07,0.372285966062121,0.00477109409814109,0.236036105626378,32.3849427045507,0.390191089013338,53.5355217287192,0.102618021421791,14.0795355667301
43,89,0.627997364088402,0.614867859291522,0.620590155181725,2.81592312782774e-15,0.999999999999966,0.530753593819988,0.00011718672468366,-0.63197891753084,4.27729217456368e-09,0.426540301587008,0.000524873440771506,0.23784448004017,32.8995722687088,0.36910996593812,51.0567241141392,0.115986503215712,16.0437036171521
44,55,0.741750179361294,0.72655901344137,0.522915850360868,-2.32420088871284e-15,0.999999999999974,0.436911727097387,0.00493533301619099,-0.607575823491789,3.42148346227843e-06,0.2235823536092,0.0424171621349745,0.302215709561667,36.9914718921901,0.417543362149185,51.1076792371722,0.097228450284653,11.9008488706377
45,42,0.773095089772672,0.755181544228409,0.494791325481349,-8.18841533675293e-15,0.999999999999915,0.640826765708836,0.000143940237771311,-0.589600904875605,6.52815373352014e-06,0.428221291346363,0.00160269490986875,0.321280887631182,37.6487674797526,0.41302992578954,48.4002262097855,0.119052813433638,13.9510063104619
46,67,0.548229562061767,0.526716684064709,0.687955896795203,2.70628732212721e-15,0.999999999999974,0.730015958523578,5.75559215701008e-05,-0.438743558553549,0.00138833625780178,0.622290362705698,3.02802194600544e-05,0.230821202584758,41.421264622254,0.228812994289078,41.0608881650633,0.0976187134121222,17.5178472126827
47,103,0.242705271442214,0.219756946334402,0.883313677956816,-5.09916267614689e-16,0.999999999999995,0.251447754566357,0.0875533049330599,-0.527187725266362,0.0002633977010872,0.345394557657956,0.0270581995862124,0.076402930165827,27.2299022895839,0.155202341115438,55.3139071304664,0.0489793938904965,17.4561905799497
48,40,0.653098990842237,0.624190573412423,0.613032973491294,-5.09015750091101e-16,0.999999999999996,0.849370182338365,0.000179146729144495,-0.312166618460864,0.0667797494040914,0.500677855994531,0.00232712722440846,0.340937275701248,48.3336703183155,0.254545143485422,36.0861129691596,0.109900129781587,15.5802167125249
49,82,0.26531057028321,0.237053284524872,0.873468210912755,2.55250157113031e-15,0.999999999999979,0.383326303746407,0.0158526620183594,-0.46190213347267,0.0300943912989248,0.429642205364862,0.0181768761270063,0.130896155499072,45.8865377598433,0.103386800369076,36.2429461806357,0.0509775189668552,17.870516059521
50,93,0.417614783014079,0.397983820643767,0.775897015947499,-3.86917572617747e-15,0.999999999999962,0.325255644135015,0.0212638804810571,-0.745052614182399,1.18663978637101e-06,0.677831519187332,1.39870554229611e-06,0.102379757863536,25.1928869079983,0.209188948237908,51.4757372486198,0.0948148823988187,23.3313758433819
51,57,0.604135338713475,0.581727905055748,0.64673958819934,1.02568975022007e-15,0.99999999999999,0.509460578586473,0.0134954204300784,-0.840008964298,2.99803498959796e-05,0.944152851657996,7.02420752780304e-08,0.140273638102566,26.6256375783819,0.233550840957755,44.3307818317271,0.153012249974322,29.043580589891
52,107,0.479646876486151,0.464490960267301,0.731784831581456,2.42312279061478e-15,0.999999999999973,0.770356394584833,3.41167627668056e-06,-0.553212775571253,9.17847634812186e-05,1.01888015769362,8.12038974249189e-12,0.136080540854452,32.6419159202499,0.129320877415854,31.0204617121284,0.151487532693605,36.3376223676217
53,38,0.683974450187829,0.656089842851461,0.586438536547983,-1.41419686020051e-15,0.999999999999988,0.625333855633705,0.00542087445984456,-0.71570828931557,0.00128257634880406,0.718695714820281,0.000122473034550691,0.27015163051578,37.7454351452717,0.302280467235007,42.2344582926178,0.143287907797013,20.0201065621105
54,65,0.210987423144987,0.17218352592261,0.90984420318942,5.38534147207609e-16,0.999999999999996,0.463099747562314,0.032889198435917,-0.390085791219182,0.11877436934145,0.517182032534404,0.0257781742077698,0.101784475428149,45.4891838123865,0.0718181835927645,32.0967469820991,0.050152675539373,22.4140692055145
55,63,0.310780747337457,0.275735700591903,0.85103719037895,-2.21622476450394e-15,0.999999999999984,0.340602033880692,0.0384542616131288,-0.744866263707206,0.00223010121750107,0.860731244302563,0.000106572765931664,0.0803245493798526,29.1619108963931,0.094289044801032,34.2317354311034,0.100829773248743,36.6063536725036
56,75,0.278378592294313,0.247887546898298,0.867244171558219,9.35184980723837e-16,0.999999999999993,0.529571154304465,0.000132514619542942,-0.395237280016769,0.0378681227200857,0.439466427753607,0.0309654422234595,0.195189736135386,60.6497235420955,0.0756288645072922,23.4995436491003,0.0510126044079263,15.8507328088043
57,120,0.518331833356691,0.505874898012468,0.702940326050179,-7.40782076609114e-15,0.999999999999908,0.569085207940556,3.18239846105563e-07,-0.728588200516534,4.05993746552654e-08,0.757305381906574,3.67035304796385e-09,0.221539564649427,39.6454505200833,0.218292519791501,39.0643779859059,0.11896990101564,21.2901714940107
58,140,0.297421236649352,0.281923175693088,0.847394137522152,4.57765430226161e-15,0.999999999999949,0.284775068611612,0.0278135552703745,-0.764759254999853,3.28294239834241e-07,0.655788062891607,1.41415351466291e-05,0.0789994646425589,24.314577990304,0.170360531339555,52.4338290704532,0.0755457649735632,23.2515929392428
