bin,caliber_r,caliber_n,myelin_r,myelin_n,length_r,length_n
1,0.693845041400144,3666,-0.425644997486676,3666,-0.591211268148837,3666
2,0.278937149421008,3667,-0.0445414032992468,3667,-0.0643318065711048,3667
3,0.274733345087804,3666,-0.0611056672416831,3666,-0.124580439842738,3666
4,0.230480842054488,3667,-0.0188987591673928,3667,-0.0311623449082591,3667
5,0.137016967944659,3666,0.0557779023971404,3666,0.083486724132268,3666
