bin,caliber_r,caliber_n,myelin_r,myelin_n,length_r,length_n
"(0.011800000000000001, 0.0181]",0.693948293399024,3667,-0.4258446880356959,3667,-0.5913347332101382,3667
"(0.0181, 0.0186]",0.2789238124400589,3666,-0.04492107840386861,3666,-0.06411718506441091,3666
"(0.0186, 0.019]",0.2747333450878042,3666,-0.06110566724168312,3666,-0.12458043984273791,3666
"(0.019, 0.0193]",0.23046662836105566,3666,-0.019539853952038097,3666,-0.031501577487722414,3666
"(0.0193, 0.0205]",0.13712267997379288,3667,0.05538658292477162,3667,0.08364415917174582,3667
