n_edges,n_obs,R2,R2_adj,B_Intercept,p_Intercept,B_myelin,p_myelin,B_caliber,p_caliber,B_myelin_x_caliber,p_myelin_x_caliber,B_length,p_length,B_myelin_x_length,p_myelin_x_length,dom_caliber,domfrac_caliber,dom_myelin,domfrac_myelin,dom_length,domfrac_length,dom_myelin_x_caliber,domfrac_myelin_x_caliber,dom_myelin_x_length,domfrac_myelin_x_length,level,key
58.0,58.0,0.5295002640055276,0.4842599047752899,-0.020503731027734423,0.871508842003945,-0.0620501300917187,0.7403970855009202,0.6815437698256734,0.00041852669868379464,0.08770932166922218,0.6072032892167285,-0.0388803343499623,0.8793285204921077,0.11187938372897843,0.5902523765384373,0.3258829625045772,48.97256046445656,0.16036490832502465,24.09908179601134,0.15191135458876676,22.828711082836644,0.0012169934431815466,0.1828855504534649,0.026063691598302963,3.9167611062419763,nodewise,1
47.0,47.0,0.4639469254861486,0.39857459932592276,-0.4575636344766035,0.007125052619671729,0.4977569291675213,0.04304075988099596,-0.312866540909031,0.29453354487816613,-0.11750015321424688,0.6062013923629073,-1.029628203072058,0.0005968704713237262,0.49540811367219684,0.06027052235238745,0.10495081156393066,15.824363682897562,0.17331077052308752,26.1316003378395,0.21131840570223248,31.86234822667608,0.048118273949386836,7.2552184725561855,0.1255246878031374,18.926469280030684,nodewise,2
68.0,68.0,0.5680562689103115,0.5332220970482399,0.010130777440253994,0.9463992319736396,-0.4399617431446231,0.013012166292704451,0.8916946971243596,0.00017646845502124352,0.1565058009805715,0.40807824953146343,0.6385331173039966,0.03158541700722027,0.14117601920587738,0.6027472061693968,0.2768577218601635,42.27507768657081,0.19513865015396903,29.796899069617783,0.12633917002279105,19.291490920625375,0.01051993850974331,1.6063529482553973,0.046040351727842765,7.030179374930613,nodewise,3
60.0,60.0,0.46282640422582644,0.41308810832081033,-0.28141307005151783,0.05273681156467956,-0.2292695453826816,0.19134676411281254,0.20794809184647348,0.3673867690126885,0.3129695064884984,0.1324993554719769,-0.18182538887874536,0.487350549802551,0.7069320523196772,0.005598360869430827,0.14777643409799956,23.12563364310186,0.22772739600973657,35.63721348917049,0.11117107648027952,17.397236589748,0.03709634584881327,5.805232132131081,0.1152444665641496,18.034684145848548,nodewise,4
64.0,64.0,0.5558352597132195,0.5175451958953935,-0.0707754009652164,0.7010899384372747,-0.4785713921151029,0.023106637763171824,0.01870158882100581,0.930390001041275,0.15862214959328438,0.43196047685256644,-0.2977136091804059,0.23061839506499718,0.2700083445992855,0.4618612659207656,0.20207199129075476,27.484565381430826,0.3210597813553036,43.668538601724826,0.20415622003601325,27.768049108458037,0.005397124247653984,0.7340830033337644,0.002534772802563978,0.34476390505253424,nodewise,5
59.0,59.0,0.7415677331574153,0.717187330625096,-0.18600082521447103,0.3294365145885515,-0.24361919262706644,0.33189876483421554,0.6537634569771269,0.0004454412187642165,0.2909779090170546,0.11956462547536066,0.01493521756644911,0.962909366442517,0.5345096672635098,0.13534661699151268,0.3811197911605251,40.45344785909401,0.3246988110888198,34.46471878118483,0.19259330832846216,20.44255779200487,0.01097028894440788,1.1644265716573086,0.03273722744981422,3.4748489960589857,nodewise,6
46.0,46.0,0.6171465443123118,0.5692898623513507,-0.0477495423246292,0.751141998528296,-0.03387210212527179,0.8589496979679727,0.7597543958903801,0.0289275777540896,-0.2501979376114437,0.26797868765669985,0.1407866830909391,0.715898258665569,-0.18860067969186603,0.5165471798592223,0.3242357016196506,39.5249128897133,0.2099080099424342,25.588162458310116,0.22375123437284583,27.27567631625848,0.012346469956432848,1.5050568061623213,0.050091072947684,6.106191529555776,nodewise,7
107.0,107.0,0.45523761506336347,0.4282691801655102,-0.2882260356497371,0.005388430937606863,-0.0328882396913991,0.7958639771898076,0.4468237533730414,0.005182029555726016,0.17503659923609674,0.2082050977055796,0.07903539322627265,0.6035351361719796,0.5948573925351961,0.0024231211631011106,0.17342484350640203,28.94906384111497,0.17786924612782457,29.6909488710901,0.0900246378143002,15.027425913538295,0.042879956302506184,7.157766830907635,0.11487023418784365,19.174794543349005,nodewise,8
41.0,41.0,0.9145119643120208,0.9022993877851666,0.5875263369905518,0.0017798131904139163,-1.134153505138393,3.193330279696753e-05,0.5394788343079745,0.0019572224224374724,-0.12470686188917265,0.23279166139529717,0.40585978553943214,0.1277767818447779,-0.7892346186998818,0.002918750447713586,0.37631726243373786,29.32185582723109,0.44503194306611915,34.67596035511383,0.427694295161862,33.32504700890124,0.020386798492259883,1.5884967973642021,0.013971626873682252,1.0886400113896293,nodewise,9
40.0,40.0,0.6993800967562164,0.65517128745566,-0.04216500226157244,0.845028861315856,-0.7575613238867813,0.003911574640579802,0.21440604773572292,0.48059848930485605,-0.11338042250168295,0.6750700787667732,0.17918392622858942,0.6806547731035418,-0.061758666713818466,0.8846667106808708,0.2661845121649445,29.03819052518766,0.42290078200137127,46.134440284027676,0.21350928562107163,23.291825900522454,0.005714708635211174,0.6234201862291954,0.008361162975041636,0.9121231040330184,nodewise,10
