n_edges,n_obs,R2,R2_adj,B_Intercept,p_Intercept,B_caliber,p_caliber,B_myelin,p_myelin,B_length,p_length,dom_caliber,domfrac_caliber,dom_myelin,domfrac_myelin,dom_length,domfrac_length,level,key
586.0,586.0,0.38460423211666683,0.38143208898324765,1.7379760824942636e-16,0.9999999999999958,0.6543278271609538,3.3408477072967685e-25,-0.29574925675759844,3.2811352573277574e-07,0.39789673747295723,1.6461445861663353e-11,0.22588318924330153,49.77942521505488,0.14195213940533752,31.282965019737922,0.08593284618956154,18.9376097652072,rsn_pairs,Control–Control
1708.0,1708.0,0.2801093525232734,0.2788419394115186,3.8163916471489756e-17,0.9999999999999984,0.49712034332056165,3.261702225488371e-43,-0.16123386482029828,1.4402197540811183e-08,0.11632561645165812,0.0005336760893253655,0.1746202559601992,51.263236583401614,0.0948249113891591,27.83773188174986,0.07118930600486412,20.89903153484852,rsn_pairs,Control–Default
817.0,817.0,0.31756181947215734,0.31504359740378896,4.7379634937616544e-17,0.9999999999999987,0.6049660984462863,3.443551957829189e-30,-0.125739714277004,0.0048144780098786895,0.18445985930890874,0.0002181847063681441,0.21113755530167433,54.59092469391189,0.09732776457675008,25.164697294352045,0.07829778495174688,20.24437801173606,rsn_pairs,Control–DorsAtt
210.0,210.0,0.3739878631211552,0.3648711815161234,-1.7780915628762273e-16,0.9999999999999974,0.8757336214576413,3.4630315801013606e-15,0.06747872560260657,0.3044159972607031,0.32770301867817,0.003780250421169103,0.27499270439894913,75.56812219336292,0.0062188821622354284,1.7089516908061209,0.08268882067045297,22.72292611583096,rsn_pairs,Control–Limbic
804.0,804.0,0.2638913244633757,0.2611309169301135,8.673617379884035e-18,0.9999999999999998,0.4767847139021898,1.145096376813069e-24,-0.18016298455514007,7.457243582491103e-06,0.1112989401925286,0.022641534384108142,0.17421315755635786,54.94827125274496,0.07859846167617107,24.79060510015486,0.06423776846345791,20.26112364710018,rsn_pairs,Control–SalVentAtt
703.0,703.0,0.02763938917020714,0.023466167664499826,1.5829351718288365e-17,0.9999999999999997,0.20144577993200707,0.00018069813927277804,-0.0416718420116929,0.3280423393445214,0.0905827186302932,0.10412135807166278,0.02164389524341559,72.21651987833862,0.003828653479984734,12.774596579545957,0.00449828797695373,15.008883542115429,rsn_pairs,Control–SomMot
328.0,328.0,0.32176669917777434,0.3154867612071981,0.0,1.0,0.44506915364096705,8.927579293684848e-10,-0.255489673871225,1.8213399097322702e-06,0.05826270516770421,0.4027089710679759,0.17788006268193252,47.473296763997446,0.12099172409866826,32.290724084094855,0.07582319925801845,20.2359791519077,rsn_pairs,Control–Visual
1400.0,1400.0,0.3048665997968525,0.3033727601116022,-4.423544863740858e-17,0.9999999999999984,0.6646545349250417,1.2950642284498832e-49,0.012862399626435081,0.6861674488798065,0.13158449594474764,0.0010731732929740354,0.2086761511524413,57.400338663915385,0.06842666538318987,18.82205390959245,0.0864423401824514,23.777607426492168,rsn_pairs,Default–Default
1046.0,1046.0,0.18276681117518367,0.18041393251254023,-1.9949319973733282e-17,0.9999999999999994,0.4108754546074325,7.153230790917905e-19,-0.013423648302010602,0.7068198692752226,-0.011034296877681826,0.8014496412556024,0.12336632105218853,57.860004132512145,0.03530200917434273,16.55698556374529,0.054546865489066176,25.58301030374257,rsn_pairs,Default–DorsAtt
471.0,471.0,0.3379355961398781,0.33368250575105507,-1.3183898417423734e-16,0.9999999999999972,0.7852997157777949,5.386773285927938e-32,-0.20904236846327007,5.553258078254761e-06,0.4669642301689954,6.920854394482317e-12,0.24499756919827315,64.5868433607868,0.06201819721724522,16.349385025722263,0.07231469231227378,19.063771613490932,rsn_pairs,Default–Limbic
1182.0,1182.0,0.2839267057516469,0.2821030895523726,-8.673617379884035e-18,0.9999999999999998,0.5435625050462468,2.3861224742611452e-45,-0.049242050421203463,0.11840964391601225,0.05465637364878685,0.15440087905547198,0.20713703042774778,63.24770605554421,0.050937133137138046,15.553263544026644,0.06942709038705958,21.19903040042915,rsn_pairs,Default–SalVentAtt
757.0,757.0,0.23867652141606432,0.23564336014680565,-2.2388774861825667e-17,0.9999999999999994,0.4754820718298959,8.505360087718353e-21,-0.09516320682506173,0.007884524500559518,0.052482032931750314,0.2651642263345891,0.16215608293664907,61.37232147575653,0.04636482352063742,17.548011784343363,0.055696054930925665,21.07966673990011,rsn_pairs,Default–SomMot
860.0,860.0,0.26199295975284154,0.2594064864809472,3.5561831257524545e-17,0.9999999999999991,0.3296599157627925,6.272671596889141e-14,-0.11120942752499707,0.0024990536911492526,-0.13806290975693977,0.0013672659239432532,0.1446138104399387,45.926632098017386,0.07262502093580381,23.06434362999339,0.09764123675401165,31.009024271989215,rsn_pairs,Default–Visual
471.0,471.0,0.45853114558020425,0.4550527589351092,-1.6306400674181987e-16,0.9999999999999962,0.82431986753821,9.55658466689026e-26,-0.15604447052909026,0.018455516801161528,0.35159220170762423,6.366310238964296e-07,0.2862582161025704,49.76773216885048,0.1595827021462246,27.744423504508216,0.129347469141175,22.48784432664131,rsn_pairs,DorsAtt–DorsAtt
110.0,110.0,0.6140133984927637,0.6030892493935023,3.757411048965764e-15,0.9999999999999505,0.343108109010625,0.0019310678598199985,0.21340485719575852,0.004322910603389807,-0.5801324137065331,3.764581808931719e-07,0.264943371157293,40.55957120271152,0.05557850275193643,8.508385130983157,0.33269847162435656,50.932043666305326,rsn_pairs,DorsAtt–Limbic
