n_edges,n_obs,R2,R2_adj,B_Intercept,p_Intercept,B_caliber,p_caliber,B_myelin,p_myelin,B_length,p_length,dom_caliber,domfrac_caliber,dom_myelin,domfrac_myelin,dom_length,domfrac_length,level,key
58.0,58.0,0.5267351991008816,0.5004427101620417,1.3877787807814457e-16,0.9999999999999989,0.6873105950704183,4.010731055650358e-05,-0.09738345385098351,0.5241742097340782,0.04558545909080983,0.7774684114528547,0.3492359739866286,53.01462979323003,0.1589823758727017,24.13380186561803,0.15053561173341118,22.851568341151953,nodewise,1
47.0,47.0,0.24372791051418785,0.19096474148029408,4.683753385137379e-16,0.9999999999999972,0.12238555217448835,0.6971912752252303,0.06268029974591573,0.7984148509976718,-0.433195289838699,0.08656878535013769,0.09596110737051089,31.285690712861186,0.06320126303710716,20.605172472704798,0.14756286142836117,48.10913681443402,nodewise,2
68.0,68.0,0.5624471874729602,0.5419368993857552,2.636779683484747e-16,0.9999999999999974,0.8458732641961175,8.945032178713527e-07,-0.4532456331264,0.006519024037752413,0.6817542908437517,7.951919951201346e-05,0.3191402368375303,49.62434942906731,0.1923341094352934,29.90677436453873,0.13163783657545136,20.468876206393954,nodewise,3
60.0,60.0,0.3559872743872805,0.3214865926580277,-3.8163916471489756e-17,0.9999999999999998,0.5283523779289307,0.01583586609718345,-0.42468069999634583,0.018008078188572578,0.40773594181111705,0.04790725373946456,0.1681751111283239,39.50302539209186,0.17430783109046344,40.94355360558078,0.08324422540719156,19.553421002327358,nodewise,4
64.0,64.0,0.5508150287367712,0.5283557801736098,9.71445146547012e-17,0.9999999999999991,0.06094825590436993,0.7260798408355471,-0.5306219799742818,0.00020724854741523566,-0.2056791668681064,0.2054207144762153,0.19999589414377145,27.654647755779482,0.3185496658670795,44.04779828101131,0.20464533328835854,28.29755396320921,nodewise,5
59.0,59.0,0.7287717881166662,0.7139775220139389,1.0408340855860843e-16,0.9999999999999989,0.7418960463530605,2.3472429219983553e-06,-0.43737447181929606,0.002978898264789436,0.3630604004556855,0.006811683293356191,0.40185244194488945,44.10067949568629,0.3183008385684453,34.93143701448573,0.1910627064970165,20.96788348982798,nodewise,6
46.0,46.0,0.6004385684832201,0.5718984662320215,2.1337098754514727e-16,0.9999999999999982,0.7657691928632382,0.0006525347519606919,-0.06891412126496357,0.6914698660553733,0.05379589520129935,0.7997017432820808,0.3639228621984655,46.23113626326536,0.20155402202788836,25.60452344348424,0.2217044217361252,28.1643402932504,nodewise,7
107.0,107.0,0.36239209743295275,0.3438209934746892,-6.938893903907228e-18,1.0,0.6669532444444426,1.2402310426076682e-05,-0.26608852362611624,0.026892718544297266,0.38330666404533326,0.007230454574315256,0.21576905034511723,50.25238465787304,0.1314464873126192,30.613748504684224,0.0821552311408199,19.13386683744274,nodewise,8
41.0,41.0,0.8840193215377979,0.8746154827435654,-5.724587470723463e-17,0.9999999999999991,0.13461474132808546,0.2532992026189119,-0.4167110743611746,0.005088239341365423,-0.42944410000126765,0.0011889709541757117,0.3625368152318648,29.6345969230548,0.4297856216790077,35.131669741281634,0.43103422345869147,35.23373333566355,nodewise,9
40.0,40.0,0.6962929627396167,0.6709840429679181,4.5102810375396984e-17,0.9999999999999996,0.2882698141168436,0.14341951800151828,-0.7521186886126177,8.371039646721959e-05,0.2023027844639601,0.29609584010600226,0.2729076799522364,29.95184328717404,0.42135721499307144,46.24430237214786,0.21688997901565737,23.80385434067811,nodewise,10
